,train,val
0,14TS0R1131,14TSRC0393
1,14TS0R1181,14TS0Z0486
2,13TSRC0228,14TS0R1104
3,12TSLC0069,14TS0Z0565
4,12TS0H0076,16TS0Z0905
5,12TS0R0616,13TS0R0885
6,13TS0R0892,13TS0R0867
7,13TSRC0290,13TSRC0337
8,13TS0R0805,14TSRC0365
9,13TSRC0307,14TSRC0369
10,13TSRC0319,14TSRC0368
11,13TSRC0318,14TS0R0968
12,14TS0R0942,14TS0R0965
13,14TSRC0364,14TS0R0978
14,14TS0R0955,14TSRC0383
15,14TS0H0110,14TS0R0998
16,14TS0H0121,14TS0R0994
17,14TS0Z0455,14TS0R0993
18,14TS0R1031,14TS0R0996
19,14TSLC0110,14TS0R1005
20,14TS0R1066,14TS0R1007
21,14TSRC0440,14TS0R1019
22,14TS0R1133,14TSLC0106
23,14TS0R1159,14TS0H0127
24,14TS0R1162,14TS0R1015
25,14TS0Z0576,14TS0R1026
26,15TSLC0183,14TSRC0400
27,16TSRC0705,14TS0Z0457
28,14TS0R0970,14TS0R1036
29,13TSRC0334,14TS0Z0468
30,13TSRC0335,14TS0Z0460
31,14TS0R0910,14TS0H0132
32,13TS0Z0397,14TS0Z0472
33,13TSRC0347,14TS0R1052
34,13TS0H0103,14TS0R1060
35,14TS0R0946,14TSLC0115
36,14TSRC0356,14TS0R1079
37,14TS0R0935,14TS0R1082
38,14TS0Z0420,14TSLC0118
39,14TS0Z0409,14TS0Z0491
40,14TS0R0940,14TSRC0425
41,14TS0Z0411,14TSRC0428
42,14TS0Z0410,14TS0R1089
43,13TSLC0100,14TS0Z0492
44,14TS0R0950,14TS0R1097
45,14TS0Z0412,14TS0Z0493
46,14TS0R0951,14TSLC0122
47,14TSRC0366,14TSRC0438
48,14TS0Z0416,14TS0R1122
49,14TS0R0959,14TS0Z0510
50,14TS0Z0423,14TS0Z0517
51,14TS0R0957,14TS0R1127
52,14TS0Z0426,14TSRC0447
53,14TS0R0960,14TS0R1134
54,14TS0Z0429,14TS0R1138
55,14TS0Z0427,14TS0R1148
56,14TSRC0389,14TSRC0450
57,14TSRC0377,14TS0Z0525
58,14TS0Z0431,14TS0Z0530
59,14TS0R0973,14TS0Z0531
60,14TS0H0113,14TS0R1161
61,14TS0H0114,14TS0Z0537
62,14TS0R0974,14TSLC0129
63,14TS0Z0430,14TS0R1184
64,14TS0R0977,14TS0R1187
65,14TS0R0975,14TS0R1199
66,14TS0R0972,14TS0Z0564
67,14TSRC0380,14TS0R1204
68,14TS0Z0434,14TS0Z0566
69,14TS0R0985,14TS0Z0577
70,14TS0Z0435,14TS0Z0579
71,14TSLC0105,15TSRC0527
72,14TS0Z0438,15TSLC0172
73,14TS0Z0437,16TSRC0737
74,14TS0Z0445,16TSRC0745
75,14TS0R0981,16TS0Z1025
76,14TSRC0382,17TSLC0278
77,14TSRC0385,17TS0H0229
78,14TS0R0984,17TSRC0992
79,14TSRC0386,18TSRC1047
80,14TS0R0992,16TSRC0805
81,14TS0R0997,16TSRC0778
82,14TS0R1006,16TS0R1924
83,14TS0Z0442,16TS0R1982
84,14TSRC0388,15TS0Z0767
85,14TS0R1004,15TSRC0602
86,14TS0Z0443,16TS0Z0826
87,14TS0R1008,16TS0R1808
88,14TS0R1003,14TSRC0403
89,14TS0Z0446,
90,14TS0Z0447,
91,14TS0R1002,
92,14TS0H0122,
93,14TSRC0392,
94,14TSRC0390,
95,14TS0Z0448,
96,14TS0H0126,
97,14TSRC0391,
98,14TS0R1013,
99,14TS0Z0450,
100,14TS0R1020,
101,14TS0R1021,
102,14TS0H0125,
103,14TS0H0124,
104,14TSRC0395,
105,14TS0R1012,
106,14TSRC0397,
107,14TS0H0128,
108,14TS0R1017,
109,14TS0R1014,
110,14TS0R1030,
111,14TS0R1025,
112,14TSRC0399,
113,14TS0R1024,
114,14TS0R1023,
115,14TS0R1032,
116,14TSRC0402,
117,14TS0Z0461,
118,14TS0R1037,
119,14TS0R1035,
120,14TSRC0401,
121,14TSLC0108,
122,14TSLC0109,
123,14TSRC0404,
124,14TS0R1046,
125,14TSRC0407,
126,14TS0R1043,
127,14TS0R1044,
128,14TS0Z0466,
129,14TS0R1048,
130,14TSLC0112,
131,14TS0Z0471,
132,14TS0Z0474,
133,14TS0Z0473,
134,14TS0Z0475,
135,14TS0R1051,
136,14TS0R1058,
137,14TS0R1072,
138,14TS0R1064,
139,14TS0R1063,
140,14TS0R1065,
141,14TSLC0113,
142,14TS0Z0479,
143,14TS0Z0477,
144,14TS0R1067,
145,14TS0R1068,
146,14TS0Z0483,
147,14TS0Z0482,
148,14TS0R1070,
149,14TS0Z0485,
150,14TSRC0418,
151,14TS0R1077,
152,14TS0H0135,
153,14TS0R1075,
154,14TS0R1076,
155,14TS0H0136,
156,14TSRC0421,
157,14TSLC0119,
158,14TSRC0420,
159,14TS0Z0487,
160,14TSRC0422,
161,14TSLC0117,
162,14TS0R1084,
163,14TS0R1083,
164,14TS0R1080,
165,14TS0R1081,
166,14TS0Z0490,
167,14TS0Z0489,
168,14TS0R1085,
169,14TSLC0120,
170,14TSRC0423,
171,14TSRC0424,
172,14TS0R1086,
173,14TSRC0427,
174,14TS0R1087,
175,14TS0R1095,
176,14TSRC0430,
177,14TS0R1091,
178,14TS0Z0494,
179,14TS0R1096,
180,14TS0R1100,
181,14TS0Z0495,
182,14TS0R1101,
183,14TSRC0437,
184,14TSLC0123,
185,14TS0Z0498,
186,14TS0Z0501,
187,14TSRC0436,
188,14TS0R1107,
189,14TS0Z0503,
190,14TSRC0434,
191,14TS0Z0499,
192,14TS0Z0500,
193,14TS0Z0496,
194,14TS0R1108,
195,14TS0R1109,
196,14TS0R1113,
197,14TSRC0439,
198,14TS0R1114,
199,14TS0R1120,
200,14TS0R1115,
201,14TS0Z0511,
202,14TS0Z0508,
203,14TS0R1123,
204,14TS0Z0506,
205,14TSLC0125,
206,14TS0Z0507,
207,14TS0R1124,
208,16TS0Z1015,
209,14TS0R1121,
210,14TS0R1129,
211,14TSRC0446,
212,14TSRC0442,
213,14TS0R1126,
214,14TS0Z0513,
215,14TSRC0445,
216,14TS0R1128,
217,14TS0Z0516,
218,14TSLC0126,
219,14TS0R1140,
220,14TS0R1137,
221,14TS0R1139,
222,14TS0R1136,
223,14TS0R1144,
224,14TS0Z0521,
225,14TS0H0139,
226,14TS0R1142,
227,14TSRC0449,
228,14TS0R1147,
229,14TS0Z0523,
230,14TS0Z0526,
231,14TS0Z0524,
232,14TS0Z0528,
233,14TSRC0454,
234,14TS0Z0536,
235,14TS0Z0529,
236,14TSRC0456,
237,14TS0Z0527,
238,14TS0R1151,
239,14TSRC0455,
240,14TS0Z0535,
241,14TS0R1171,
242,14TS0R1164,
243,14TS0Z0538,
244,14TS0R1163,
245,14TS0R1176,
246,14TS0H0141,
247,14TS0R1173,
248,14TS0R1169,
249,14TS0Z0545,
250,14TS0R1174,
251,14TS0R1224,
252,14TSLC0131,
253,14TS0R1178,
254,14TS0Z0547,
255,14TS0R1180,
256,14TS0R1185,
257,14TS0R1186,
258,14TS0Z0558,
259,14TS0R1191,
260,14TS0R1189,
261,14TS0Z0554,
262,14TSLC0132,
263,14TS0R1194,
264,14TS0H0143,
265,14TS0Z0562,
266,14TS0R1192,
267,14TS0Z0561,
268,14TS0R1196,
269,14TS0R1202,
270,14TS0R1203,
271,14TS0R1201,
272,14TS0H0146,
273,14TSRC0465,
274,14TSLC0134,
275,14TS0Z0569,
276,14TS0R1218,
277,14TSLC0137,
278,14TSLC0135,
279,14TS0Z0573,
280,14TS0R1219,
281,14TS0Z0570,
282,14TSRC0469,
283,14TSLC0138,
284,14TS0Z0578,
285,14TSLC0139,
286,15TS0Z0604,
287,15TSLC0149,
288,15TSLC0151,
289,15TS0H0157,
290,15TSLC0161,
291,15TSRC0547,
292,15TS0Z0706,
293,15TS0H0177,
294,16TS0H0191,
295,16TSRC0692,
296,16TSRC0713,
297,16TSLC0224,
298,16TSRC0720,
299,16TS0Z1001,
300,17TS0Z1140,
301,17TS0Z1230,
302,17TSRC0909,
303,17TS0Z1300,
304,17TSRC0959,
